SampleID	remove
SED00064	delete
WB00206	delete
WB00419	delete
WB00422	delete
WB00117	delete
BS078	delete
WB00198	delete
WB00421	delete
WB00503	delete
WB00711	delete
WB00799	delete
WB00801	delete
WB00132	delete
WB00647	delete
WB00806	delete
WB00373	delete
BS026	delete
WB00302	delete
WB00303	delete
WB00304	delete
WB00713	delete
WB00804	delete
WB00709	delete
WB00637	delete
WB00305	delete
K1972	delete
WB00512	delete
WB00282	delete
WB00228	delete
WB00249	delete
WB00199	delete
WB00520	delete
WB00712	delete
WB01035	delete
WB00543	delete
WB00210	delete
WB00641	delete
BS074	delete
WB00295	delete
WB00173	delete
WB00600	delete
WB00546	delete
WB00092	delete
WB00944	delete
WB00273	delete
WB00420	delete
BS063	delete
BS110	delete
WB00237	delete
WB00274	delete
WB00265	delete
WB00275	delete
WB00157	delete
K216RS	delete
WB00497	delete
WB00521	delete
WB00306	delete
BS125	delete
WB00926Larvae	delete
BS084	delete
WB00190	delete
WB00030	delete
WB00738	delete
WB00786	delete
WB00787	delete
WB00987	delete
WB00982	delete
