SampleID	sampletype
BS001	sponge
BS002	sponge
BS005	sponge
BS006	sponge
BS007	sponge
BS008	sponge
BS009	sponge
BS010	sponge
BS011	sponge
BS012	sponge
BS013	sponge
BS014	sponge
BS015	seawater
BS016	seawater
BS017	sponge
BS018	sponge
BS019	sponge
BS021	sponge
BS022	sponge
BS023	sponge
BS025	sponge
BS026	sponge
BS027	sponge
BS028	sponge
BS029	sponge
BS031	sponge
BS032	sponge
BS033	sediment
BS034	sponge
BS035	sponge
BS036	sponge
BS037	sponge
BS038	sediment
BS039	sponge
BS040	sponge
BS041	sponge
BS042	sponge
BS043	sponge
BS044	sponge
BS045	sponge
BS046	sponge
BS047	sponge
BS048	sponge
BS049	sponge
BS050	sponge
BS051	sponge
BS052	sponge
BS053	sediment
BS054	sponge
BS055	sediment
BS056	sponge
BS057	sponge
BS058	sponge
BS059	sponge
BS060	sediment
BS061	sediment
BS062	sponge
BS063	sponge
BS064	sponge
BS065	sponge
BS066	sponge
BS067	sponge
BS068	sediment
BS069	sponge
BS070	sponge
BS071	sponge
BS072	sponge
BS073	sponge
BS074	sponge
BS075	sponge
BS076	sediment
BS077	sediment
BS078	sponge
BS079	sponge
BS080	sponge
BS081	sponge
BS082	sponge
BS083	sponge
BS084	sponge
BS085	sponge
BS087	sediment
BS088	sponge
BS089	sponge
BS090	sponge
BS091	sponge
BS092	seawater
BS093	seawater
BS094	seawater
BS096	seawater
BS097	sediment
BS098	sponge
BS099	sponge
BS100	sponge
BS101	sponge
BS103	sponge
BS104	sponge
BS105	sponge
BS106	sponge
BS107	sponge
BS108	sediment
BS109	sponge
BS110	sponge
BS111	sponge
BS112	sponge
BS113	sponge
BS114	sponge
BS115	sponge
BS116	sponge
BS117	sponge
BS118	sponge
BS119	sponge
BS120	sponge
BS121	sponge
BS122	sponge
BS123	sponge
BS124	sponge
BS125	sponge
BS126	sponge
BS127	sponge
BS128	sponge
BS129	sponge
BS130	sponge
K0921A	sponge
K0931A	sponge
K0942A	sponge
