sample-id,absolute-filepath,direction
SED00001,$PWDa/trimmed/H06402-L1_S332_L001_R1_001.fastq,forward
SED00002,$PWDa/trimmed/H06403-L1_S333_L001_R1_001.fastq,forward
SED00003,$PWDa/trimmed/H06404-L1_S334_L001_R1_001.fastq,forward
SED00004,$PWDa/trimmed/H06405-L1_S335_L001_R1_001.fastq,forward
SED00005,$PWDa/trimmed/H06406-L1_S336_L001_R1_001.fastq,forward
SED00006,$PWDa/trimmed/H06407-L1_S337_L001_R1_001.fastq,forward
SED00007,$PWDa/trimmed/H06408-L1_S338_L001_R1_001.fastq,forward
SED00008,$PWDa/trimmed/H06409-L1_S339_L001_R1_001.fastq,forward
SED00009,$PWDa/trimmed/H06410-L1_S340_L001_R1_001.fastq,forward
SED00010,$PWDa/trimmed/H06411-L1_S341_L001_R1_001.fastq,forward
SED00011,$PWDa/trimmed/H06412-L1_S342_L001_R1_001.fastq,forward
SED00012,$PWDa/trimmed/H06413-L1_S343_L001_R1_001.fastq,forward
SED00013,$PWDa/trimmed/H06414-L1_S344_L001_R1_001.fastq,forward
SED00014,$PWDa/trimmed/H06415-L1_S345_L001_R1_001.fastq,forward
SED00015,$PWDa/trimmed/H06416-L1_S346_L001_R1_001.fastq,forward
SED00016,$PWDa/trimmed/H06417-L1_S347_L001_R1_001.fastq,forward
SED00017,$PWDa/trimmed/SED-00017_S277_L001_R1_001.fastq,forward
SED00018,$PWDa/trimmed/SED-00018_S278_L001_R1_001.fastq,forward
SED00019,$PWDa/trimmed/SED-00019_S279_L001_R1_001.fastq,forward
SED00020,$PWDa/trimmed/SED-00020_S280_L001_R1_001.fastq,forward
SED00021,$PWDa/trimmed/SED-00021_S281_L001_R1_001.fastq,forward
SED00022,$PWDa/trimmed/SED-00022_S282_L001_R1_001.fastq,forward
SED00023,$PWDa/trimmed/SED-00023_S283_L001_R1_001.fastq,forward
SED00024,$PWDa/trimmed/I07869-L1_S1_L001_R1_001.fastq,forward
SED00025,$PWDa/trimmed/SED-00025_S285_L001_R1_001.fastq,forward
SED00026,$PWDa/trimmed/I07870-L1_S2_L001_R1_001.fastq,forward
SED00027,$PWDa/trimmed/SED-00027_S287_L001_R1_001.fastq,forward
SED00028,$PWDa/trimmed/I07871-L1_S3_L001_R1_001.fastq,forward
SED00029,$PWDa/trimmed/I07872-L1_S4_L001_R1_001.fastq,forward
SED00030,$PWDa/trimmed/I07873-L1_S5_L001_R1_001.fastq,forward
SED00031,$PWDa/trimmed/I07874-L1_S6_L001_R1_001.fastq,forward
SED00032,$PWDa/trimmed/SED-00032_S292_L001_R1_001.fastq,forward
SED00033,$PWDa/trimmed/SED-00033_S293_L001_R1_001.fastq,forward
SED00034,$PWDa/trimmed/SED-00034_S294_L001_R1_001.fastq,forward
SED00035,$PWDa/trimmed/SED-00035_S295_L001_R1_001.fastq,forward
SED00036,$PWDa/trimmed/SED-00036_S296_L001_R1_001.fastq,forward
SED00037,$PWDa/trimmed/SED-00037_S297_L001_R1_001.fastq,forward
SED00038,$PWDa/trimmed/SED-00038_S361_L001_R1_001.fastq,forward
SED00039,$PWDa/trimmed/SED-00039_S362_L001_R1_001.fastq,forward
SED00040,$PWDa/trimmed/SED-00040_S363_L001_R1_001.fastq,forward
SED00044,$PWDa/trimmed/H24036-L1_S91_L001_R1_001.fastq,forward
SED00045,$PWDa/trimmed/H24037-L1_S92_L001_R1_001.fastq,forward
SED00046,$PWDa/trimmed/H24038-L1_S93_L001_R1_001.fastq,forward
SED00047,$PWDa/trimmed/H24039-L1_S94_L001_R1_001.fastq,forward
SED00048,$PWDa/trimmed/H24040-L1_S95_L001_R1_001.fastq,forward
SED00049,$PWDa/trimmed/H24041-L1_S96_L001_R1_001.fastq,forward
SED00041,$PWDa/trimmed/H24042-L1_S97_L001_R1_001.fastq,forward
SED00042,$PWDa/trimmed/H24043-L1_S98_L001_R1_001.fastq,forward
SED00043,$PWDa/trimmed/H24044-L1_S99_L001_R1_001.fastq,forward
SED00050,$PWDa/trimmed/I07789-L1_S305_L001_R1_001.fastq,forward
SED00051,$PWDa/trimmed/I07790-L1_S306_L001_R1_001.fastq,forward
SED00052,$PWDa/trimmed/I07791-L1_S307_L001_R1_001.fastq,forward
SED00053,$PWDa/trimmed/I07792-L1_S308_L001_R1_001.fastq,forward
SED00054,$PWDa/trimmed/I07793-L1_S309_L001_R1_001.fastq,forward
SED00055,$PWDa/trimmed/I07794-L1_S310_L001_R1_001.fastq,forward
SED00056,$PWDa/trimmed/I07795-L1_S311_L001_R1_001.fastq,forward
SED00057,$PWDa/trimmed/I07796-L1_S312_L001_R1_001.fastq,forward
SED00058,$PWDa/trimmed/I07797-L1_S313_L001_R1_001.fastq,forward
SED00059,$PWDa/trimmed/I07798-L1_S314_L001_R1_001.fastq,forward
SED00060,$PWDa/trimmed/I07799-L1_S315_L001_R1_001.fastq,forward
SED00061,$PWDa/trimmed/I07800-L1_S316_L001_R1_001.fastq,forward
SED00062,$PWDa/trimmed/I07801-L1_S317_L001_R1_001.fastq,forward
SED00063,$PWDa/trimmed/I07802-L1_S318_L001_R1_001.fastq,forward
SED00065,$PWDa/trimmed/I07804-L1_S320_L001_R1_001.fastq,forward
SED00066,$PWDa/trimmed/I07805-L1_S321_L001_R1_001.fastq,forward
SED00067,$PWDa/trimmed/I07806-L1_S322_L001_R1_001.fastq,forward
SED00068,$PWDa/trimmed/I07807-L1_S323_L001_R1_001.fastq,forward
SED00069,$PWDa/trimmed/I07808-L1_S324_L001_R1_001.fastq,forward
SED00070,$PWDa/trimmed/I07809-L1_S325_L001_R1_001.fastq,forward
SED00071,$PWDa/trimmed/I07810-L1_S326_L001_R1_001.fastq,forward
SED00072,$PWDa/trimmed/I07811-L1_S327_L001_R1_001.fastq,forward
SED00073,$PWDa/trimmed/H31779-L1_S84_L001_R1_001.fastq,forward
SED00074,$PWDa/trimmed/H31787-L1_S92_L001_R1_001.fastq,forward
SED00075,$PWDa/trimmed/H31700-L1_S5_L001_R1_001.fastq,forward
SED00076,$PWDa/trimmed/H31708-L1_S13_L001_R1_001.fastq,forward
SED00077,$PWDa/trimmed/H31716-L1_S21_L001_R1_001.fastq,forward
SED00078,$PWDa/trimmed/H31724-L1_S29_L001_R1_001.fastq,forward
SED00079,$PWDa/trimmed/H31732-L1_S37_L001_R1_001.fastq,forward
SED00080,$PWDa/trimmed/H31740-L1_S45_L001_R1_001.fastq,forward
SED00081,$PWDa/trimmed/H31748-L1_S53_L001_R1_001.fastq,forward
SED00082,$PWDa/trimmed/H31756-L1_S61_L001_R1_001.fastq,forward
SED00083,$PWDa/trimmed/H31764-L1_S69_L001_R1_001.fastq,forward
SED00084,$PWDa/trimmed/H31772-L1_S77_L001_R1_001.fastq,forward
SED00085,$PWDa/trimmed/I08236-L1_S368_L001_R1_001.fastq,forward
SED00086,$PWDa/trimmed/I08237-L1_S369_L001_R1_001.fastq,forward
SED00087,$PWDa/trimmed/I08238-L1_S370_L001_R1_001.fastq,forward
SED00088,$PWDa/trimmed/I01841-L1_S103_L001_R1_001.fastq,forward
SED00089,$PWDa/trimmed/I01842-L1_S104_L001_R1_001.fastq,forward
SED00090,$PWDa/trimmed/I01843-L1_S105_L001_R1_001.fastq,forward
SED00091,$PWDa/trimmed/I01844-L1_S106_L001_R1_001.fastq,forward
SED00092,$PWDa/trimmed/I01845-L1_S107_L001_R1_001.fastq,forward
SED00093,$PWDa/trimmed/I01846-L1_S108_L001_R1_001.fastq,forward
SEDI092,$PWDa/trimmed/H06333-L1_S263_L001_R1_001.fastq,forward
SEDI093,$PWDa/trimmed/H06337-L1_S267_L001_R1_001.fastq,forward
SEDI094,$PWDa/trimmed/H06340-L1_S270_L001_R1_001.fastq,forward
SEDI154,$PWDa/trimmed/H06085-L1_S15_L001_R1_001.fastq,forward
SEDI155,$PWDa/trimmed/H06089-L1_S19_L001_R1_001.fastq,forward
SEDI197,$PWDa/trimmed/H06136-L1_S66_L001_R1_001.fastq,forward
SEDI198,$PWDa/trimmed/H06139-L1_S69_L001_R1_001.fastq,forward
SEDI200,$PWDa/trimmed/H06143-L1_S73_L001_R1_001.fastq,forward
SEDI208,$PWDa/trimmed/H06155-L1_S85_L001_R1_001.fastq,forward
BS033,$PWDa/trimmed/I29403-L1_S278_L001_R1_001.fastq,forward
BS038,$PWDa/trimmed/I29409-L1_S284_L001_R1_001.fastq,forward
BS053,$PWDa/trimmed/I29427-L1_S302_L001_R1_001.fastq,forward
BS055,$PWDa/trimmed/I29429-L1_S304_L001_R1_001.fastq,forward
BS060,$PWDa/trimmed/I29434-L1_S309_L001_R1_001.fastq,forward
BS061,$PWDa/trimmed/I29435-L1_S310_L001_R1_001.fastq,forward
BS068,$PWDa/trimmed/I29442-L1_S317_L001_R1_001.fastq,forward
BS076,$PWDa/trimmed/I29450-L1_S325_L001_R1_001.fastq,forward
BS077,$PWDa/trimmed/I29451-L1_S326_L001_R1_001.fastq,forward
BS087,$PWDa/trimmed/I29462-L1_S337_L001_R1_001.fastq,forward
BS097,$PWDa/trimmed/I29471-L1_S346_L001_R1_001.fastq,forward
BS108,$PWDa/trimmed/I29481-L1_S356_L001_R1_001.fastq,forward
SW00001,$PWDa/trimmed/H06250-L1_S180_L001_R1_001.fastq,forward
SW00002,$PWDa/trimmed/H06251-L1_S181_L001_R1_001.fastq,forward
SW00003,$PWDa/trimmed/H06252-L1_S182_L001_R1_001.fastq,forward
SW00004,$PWDa/trimmed/H06253-L1_S183_L001_R1_001.fastq,forward
SW00005,$PWDa/trimmed/H06254-L1_S184_L001_R1_001.fastq,forward
SW00006,$PWDa/trimmed/I08216-L1_S348_L001_R1_001.fastq,forward
SW00007,$PWDa/trimmed/I08214-L1_S346_L001_R1_001.fastq,forward
SW00066,$PWDa/trimmed/SW00066_S225_L001_R1_001.fastq,forward
SW00067,$PWDa/trimmed/SW00067_S226_L001_R1_001.fastq,forward
SW00068,$PWDa/trimmed/SW00068_S227_L001_R1_001.fastq,forward
SW00008,$PWDa/trimmed/SW-00008_S233_L001_R1_001.fastq,forward
SW00009,$PWDa/trimmed/I07875-L1_S7_L001_R1_001.fastq,forward
SW00010,$PWDa/trimmed/SW-00010_S235_L001_R1_001.fastq,forward
SW00011,$PWDa/trimmed/SW-00011_S236_L001_R1_001.fastq,forward
SW00012,$PWDa/trimmed/SW-00012_S237_L001_R1_001.fastq,forward
SW00013,$PWDa/trimmed/SW-00013_S238_L001_R1_001.fastq,forward
SW00014,$PWDa/trimmed/SW-00014_S239_L001_R1_001.fastq,forward
